ID,Phase,Title,Section_Path,Claim_ID,Evidence_Type,Experiment_ID,Result_Status,Description,Source_Policy,Target_Citations,Visualization,Acceptance,Status,Verified_Citations,Depends_On,Must_Verify,Notes
W3,Writing,Method,Method,C1,mixed,N/A,n/a,Draft the method section based on notes/design/method-components.csv: describe each component; justify design choices; include pipeline diagram,standard,6,Pipeline diagram,Method includes clear inputs/outputs and design rationale for novel components,DONE,10,R4,yes,Reference method-components.csv for component details
W4,Writing,Experimental setup,Experimental Setup,C1,mixed,N/A,n/a,Draft experimental setup based on notes/design/experiment-matrix.csv and baselines.csv: datasets; baselines; metrics; implementation details; reproducibility info,standard,10,Setup summary table,Setup includes reproducibility details and exact protocol,DONE,16,E1,yes,
W5,Writing,Results (placeholder-safe),Results,C1,experiment,EXP-1,placeholder,Draft results section with explicit hypothesis-safe placeholder language. Do not include numbers or significance claims unless verified.,standard,8,Main results table,All result statements are hypothesis-safe; all tables/figures use -- or placeholders until verified,DONE,11,W4;E2;E3;E4,yes,Do not invent numbers
W6,Writing,Limitations & ethics,Limitations,C4,citation,N/A,n/a,Draft limitations focusing on method constraints; failure modes; evidence gaps,standard,4,N/A,Limitations include at least 3 concrete limitations tied to evidence status,DONE,7,W5,no,
W7,Writing,Conclusion,Conclusion,C1,n/a,N/A,placeholder,Draft conclusion using hypothesis-safe language when results are not yet verified; upgrade to factual claims only after backfill.,standard,0,N/A,Conclusion contains no fabricated outcomes; uses (hypothesis)/[Pending] tags until verified,DONE,0,W6,no,
W0,Writing,Abstract,Abstract,C1,n/a,N/A,placeholder,Draft abstract: problem; method; setting; key outcome only if verified; implication. Must be self-contained. See references/abstract-conclusion-guide.md.,core,0,N/A,Abstract is substantive (not a stub); contains specific verified numbers if available; <=250 words,DONE,0,W5;W7,yes,Write only after Results and Conclusion are DONE
V1,Visual,System overview figure,Introduction,C1,figure,N/A,n/a,Generate TikZ system overview showing problem setting and where the method fits. Derive from method-components.csv and domain context. See references/figure-generation-guide.md.,N/A,0,System overview / teaser TikZ figure,TikZ figure compiles; is referenced in Introduction; shows problem + method modules,DONE,0,W1;R4,no,Pattern: system-overview from figure-generation-guide.md
V2,Visual,Method architecture diagram,Method > Approach Overview,C1,figure,N/A,n/a,Generate TikZ method architecture diagram from method-components.csv. Novel components highlighted. See references/figure-generation-guide.md.,N/A,0,Method pipeline / architecture TikZ diagram,TikZ figure compiles; shows all pipeline components; novel ones visually distinguished,DONE,0,W3;R4,no,Pattern: method-architecture from figure-generation-guide.md
V3,Visual,Case-study inflow time series,Experimental Setup,C1,figure,N/A,n/a,Generate a publication-quality figure showing daily inflow time series for the three reservoirs with train/tune/test split boundaries.,N/A,0,inflow_timeseries_splits.pdf,Figure compiles; is referenced in Experimental Setup; shows chronological splits clearly,DONE,0,W4,no,Generated via experiments/render_figures.py from ResOpsUS2 time series
V4,Visual,Forecast skill per reservoir,Results > Forecast Skill,C2,figure,N/A,verified,Generate a figure that breaks down CRPS/RMSE by reservoir for key forecast baselines and the rolling AR(p) forecaster.,N/A,0,forecast_skill_by_dam.pdf,Figure compiles; is referenced in Results; supports bounded per-reservoir discussion,DONE,0,W5,no,Generated from paper/results/forecast_results_per_dam.json
V5,Visual,Operational value per reservoir,Results > Operational Main Results,C1,figure,N/A,verified,Generate a figure showing objective change (relative to baseline) and violation rate per reservoir across operational pipelines.,N/A,0,ops_by_dam.pdf,Figure compiles; is referenced in Results; supports heterogeneity discussion and violation concentration claim,DONE,0,W5,no,Generated from paper/results/main_results_per_dam.json
V6,Visual,Robustness plot: inflow scaling,Results > Error Analysis / Robustness,C4,figure,N/A,verified,Generate a plot of objective change (%) and violation-rate change (pp) under multiplicative inflow scaling (relative to baseline) for key methods.,N/A,0,robustness_inflow_scale.pdf,Figure compiles; is referenced in Robustness; axes and sign conventions match caption; derived from robustness_results.csv,DONE,0,W5,no,Generated from paper/results/robustness_results.csv
V7,Visual,Robustness heatmap: sparse/delayed obs,Results > Error Analysis / Robustness,C4,figure,N/A,verified,Generate a heatmap figure summarizing objective change and violation rate under sparse/delayed observations for rolling calibration.,N/A,0,robustness_obs_sparse_delay.pdf,Figure compiles; is referenced in Robustness; clearly shows sensitivity surface,DONE,0,W5,no,Generated from paper/results/robustness_results.csv
V8,Visual,Runtime breakdown figure,Results > Efficiency,C4,figure,N/A,verified,Generate a runtime breakdown figure separating rolling-calibration time and dispatch time per cycle.,N/A,0,runtime_breakdown.pdf,Figure compiles; is referenced in Efficiency; consistent with efficiency table,DONE,0,W5,no,Generated from paper/results/efficiency_results.csv
V9,Visual,Ablation summary figure,Results > Ablation Studies,C3,figure,N/A,verified,Generate a compact ablation summary figure reporting objective change (%) and violation-rate change (pp) relative to the full method.,N/A,0,ablation_summary.pdf,Figure compiles; is referenced in Ablation Studies; labels do not overlap; derived from ablation_results.csv,DONE,0,W9,no,Generated from paper/results/ablation_results.csv via experiments/render_figures.py
V10,Visual,Forecast calibration tradeoff,Results > Forecast Skill,C2,figure,N/A,verified,Generate a figure showing CRPS versus nominal 80% coverage (calibration vs sharpness) for key forecasters broken down by reservoir.,N/A,0,forecast_calibration_tradeoff.pdf,Figure compiles; is referenced in Forecast Skill; supports bounded calibration discussion,DONE,0,W9,no,Generated from paper/results/forecast_results_per_dam.json via experiments/render_figures.py
V11,Visual,Compute--value tradeoff,Results > Efficiency,C4,figure,N/A,verified,Generate a compute--value tradeoff figure plotting runtime per cycle (ms) versus objective change (%) relative to the static baseline aggregated across reservoirs.,N/A,0,runtime_value_tradeoff.pdf,Figure compiles; is referenced in Efficiency; derived from main_results_per_dam.json and main_results_timing_per_dam.json,DONE,0,W9,no,Generated via experiments/render_figures.py; uses per-dam runtime and objective deltas
W8,Writing,Method details (equations),Method,C1,mixed,N/A,n/a,Expand the Method section with an explicit formulation of rolling calibration (RLS) probabilistic scenario generation MPC objective/constraints and feedback inflation.,standard,6,N/A,Method is more detailed and reproducible; no fabricated claims,DONE,10,W3,no,Added equations aligned with implementation in experiments/sim/rollout.py
W9,Writing,Results expanded with per-reservoir plots,Results,C1,experiment,N/A,verified,Expand Results narrative to discuss heterogeneity across reservoirs and tie bounded claims to the new figures.,standard,8,N/A,Results discuss per-reservoir breakdown and robustness with figure support; no new unverified claims,DONE,11,W5;V4;V5;V6;V7;V8,no,Added figure references and heterogeneous interpretation
W10,Writing,Discussion,Discussion,C1,mixed,N/A,n/a,Add a Discussion section interpreting forecast-skill vs operational-value results; role of uncertainty propagation and feedback; and feasibility implications.,standard,1,N/A,Discussion is grounded in verified results/figures and existing citations; no fabricated claims,DONE,1,W9,no,Added Discussion section with bounded statements and figure references
W11,Writing,Integrate calibration/runtime tradeoff figures,Results,C2,mixed,N/A,verified,Integrate the calibration tradeoff and compute--value tradeoff figures into the Results narrative with bounded interpretation aligned to the reported summary metrics.,standard,1,N/A,New figures are introduced and interpreted without changing reported numbers; no new unverified claims,DONE,11,W9;V10;V11,no,Added references to Fig. forecast_calibration_tradeoff and Fig. runtime_value_tradeoff
RF1,Refinement,Rhythm refinement,N/A,N/A,n/a,N/A,n/a,Apply latex-rhythm-refiner after all writing and visual issues are DONE,N/A,0,N/A,All sections refined and citations preserved,DONE,0,W0;W1;W2;W3;W4;W5;W6;W7;W8;W9;W10;W11;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11,no,Applied latex-rhythm-refiner pass to paper/main.tex after adding expanded method/results and new figures
Q1,QA,Citation verification,N/A,N/A,n/a,N/A,n/a,Verify citations; source policy; compilation status,N/A,0,N/A,All citation audits pass and BibTeX lint is clean,DONE,0,RF1,yes,Passed: compile_paper.py --check-warnings --fail-on-warnings; citation_policy lint-bib audit-bib verify-bib audit-tex
